v1,v2
0,"['funny', 'fact', 'nobody', 'teaches', 'volcanoes', 'erupt', 'tsunamis', 'arise', 'hurricanes', 'sway', 'aroundn', 'no', 'teaches', 'hw', 'choose', 'a', 'wife', 'natural', 'disasters', 'just', 'happens']"
0,"['i', 'sent', 'my', 'scores', 'to', 'sophas', 'and', 'i', 'had', 'to', 'do', 'secondary', 'application', 'for', 'a', 'few', 'schools', 'i', 'think', 'if', 'you', 'are', 'thinking', 'of', 'applying', 'do', 'a', 'research', 'on', 'cost', 'also', 'contact', 'joke', 'ogunrinde', 'her', 'school', 'is', 'one', 'me', 'the', 'less', 'expensive', 'ones']"
1,"['we', 'know', 'someone', 'who', 'you', 'know', 'that', 'fancies', 'you', 'call', 'to', 'find', 'out', 'who', 'pobox', 'lshb', 'p']"
0,"['only', 'if', 'you', 'promise', 'your', 'getting', 'out', 'as', 'soon', 'as', 'you', 'can', 'and', 'you', 'll', 'text', 'me', 'in', 'the', 'morning', 'to', 'let', 'me', 'know', 'you', 'made', 'it', 'in', 'ok']"
1,"['congratulations', 'ur', 'awarded', 'either', 'ã', 'â', 'of', 'cd', 'gift', 'vouchers', 'free', 'entry', 'our', 'ã', 'â', 'weekly', 'draw', 'txt', 'music', 'to', 'tncs', 'www', 'ldew', 'comwinppmxage']"
0,"['i', 'll', 'text', 'carlos', 'and', 'let', 'you', 'know', 'hang', 'on']"
0,"['k', 'i', 'did', 't', 'see', 'you', 'k', 'where', 'are', 'you', 'now']"
0,"['no', 'message', 'no', 'responce', 'what', 'happend']"
0,"['get', 'down', 'in', 'gandhipuram', 'and', 'walk', 'to', 'cross', 'cut', 'road', 'right', 'side', 'lt', 'gt', 'street', 'road', 'and', 'turn', 'at', 'first', 'right']"
0,"['you', 'flippin', 'your', 'shit', 'yet']"
0,"['for', 'real', 'tho', 'this', 'sucks', 'i', 'can', 't', 'even', 'cook', 'my', 'whole', 'electricity', 'is', 'out', 'and', 'i', 'm', 'hungry']"
1,"['free', 'tones', 'hope', 'you', 'enjoyed', 'your', 'new', 'content', 'text', 'stop', 'to', 'to', 'unsubscribe', 'help', 'p', 'provided', 'by', 'tonesyou', 'co', 'uk']"
0,"['i', 'm', 'wif', 'him', 'now', 'buying', 'tix', 'lar']"
0,"['call', 'me', 'when', 'u', 'finish', 'then', 'i', 'come', 'n', 'pick', 'u']"
0,"['dear', 'how', 'is', 'chechi', 'did', 'you', 'talk', 'to', 'her']"
0,"['what', 's', 'up', 'do', 'you', 'want', 'me', 'to', 'come', 'online']"
0,"['were', 'somewhere', 'on', 'fredericksburg']"
1,"['urgent', 'your', 'mobile', 'was', 'awarded', 'a', 'ã', 'â', 'bonus', 'caller', 'prize', 'on', 'our', 'final', 'attempt', 'contact', 'u', 'call']"
0,"['when', 'can', 'ã', '_', 'come', 'out']"
0,"['k', 'if', 'u', 'bored', 'up', 'just', 'come', 'to', 'my', 'home']"
0,"['can', 'ã', '_', 'call', 'me', 'at', 'to', 'make', 'sure', 'dat', 'i', 've', 'woken', 'up']"
0,"['boy', 'i', 'love', 'u', 'grl', 'hogolo', 'boy', 'gold', 'chain', 'kodstini', 'grl', 'agalla', 'boy', 'necklace', 'madstini', 'grl', 'agalla', 'boy', 'hogli', 'mutai', 'eerulli', 'kodthini', 'grl', 'i', 'love', 'u', 'kano']"
0,"['a', 'bloo', 'bloo', 'bloo', 'i', 'll', 'miss', 'the', 'first', 'bowl']"
0,"['yeah', 'sure', 'give', 'me', 'a', 'couple', 'minutes', 'to', 'track', 'down', 'my', 'wallet']"
1,"['this', 'is', 'the', 'nd', 'time', 'we', 'have', 'tried', 'contact', 'u', 'u', 'have', 'won', 'the', 'ã', 'â', 'pound', 'prize', 'claim', 'is', 'easy', 'call', 'now', 'only', 'p', 'per', 'minute', 'bt', 'national', 'rate']"
0,"['no', 'it', 'was', 'cancelled', 'yeah', 'baby', 'well', 'that', 'sounds', 'important', 'so', 'i', 'understand', 'my', 'darlin', 'give', 'me', 'a', 'ring', 'later', 'on', 'this', 'fone', 'love', 'kate', 'x']"
0,"['its', 'not', 'the', 'same', 'here', 'still', 'looking', 'for', 'a', 'job', 'how', 'much', 'do', 'ta', 's', 'earn', 'there']"
0,"['gud', 'gud', 'k', 'chikku', 'tke', 'care', 'sleep', 'well', 'gud', 'nyt']"
0,"['i', 'll', 'reach', 'in', 'ard', 'mins', 'ok']"
0,"['wat', 'ã', '_', 'doing', 'now']"
0,"['done', 'it', 'but', 'internet', 'connection', 'v', 'slow', 'and', 'canâ', 'ã', 'ã', 't', 'send', 'it', 'will', 'try', 'again', 'later', 'or', 'first', 'thing', 'tomo']"
0,"['yup', 'izzit', 'still', 'raining', 'heavily', 'cos', 'i', 'm', 'in', 'e', 'mrt', 'i', 'can', 't', 'c', 'outside']"
1,"['hi', 'i', 'm', 'sue', 'i', 'am', 'years', 'old', 'and', 'work', 'as', 'a', 'lapdancer', 'i', 'love', 'sex', 'text', 'me', 'live', 'i', 'm', 'i', 'my', 'bedroom', 'now', 'text', 'sue', 'to', 'by', 'textoperator', 'g', 'da', 'ppmsg']"
0,"['can', 'you', 'pls', 'send', 'me', 'that', 'company', 'name', 'in', 'saibaba', 'colany']"
0,"['i', 'can', 't', 'speak', 'bcaz', 'mobile', 'have', 'problem', 'i', 'can', 'listen', 'you', 'but', 'you', 'cann', 't', 'listen', 'my', 'voice', 'so', 'i', 'calls', 'you', 'later']"
0,"['yes', 'i', 'think', 'so', 'i', 'am', 'in', 'office', 'but', 'my', 'lap', 'is', 'in', 'room', 'i', 'think', 'thats', 'on', 'for', 'the', 'last', 'few', 'days', 'i', 'didnt', 'shut', 'that', 'down']"
0,"['yeah', 'it', 's', 'jus', 'rite']"
0,"['hey', 'mate', 'spoke', 'to', 'the', 'mag', 'people', 'weâ', 'ã', 'ã', 're', 'on', 'the', 'is', 'deliver', 'by', 'the', 'end', 'of', 'the', 'month', 'deliver', 'on', 'the', 'th', 'sept', 'talk', 'later']"
0,"['i', 'know', 'you', 'mood', 'off', 'today']"
0,"['alrite', 'jod', 'hows', 'the', 'revision', 'goin', 'keris', 'bin', 'doin', 'a', 'smidgin', 'n', 'e', 'way', 'u', 'wanna', 'cum', 'over', 'after', 'college', 'xx']"
0,"['see', 'i', 'knew', 'giving', 'you', 'a', 'break', 'a', 'few', 'times', 'woul', 'lead', 'to', 'you', 'always', 'wanting', 'to', 'miss', 'curfew', 'i', 'was', 'gonna', 'gibe', 'you', 'til', 'one', 'but', 'a', 'midnight', 'movie', 'is', 'not', 'gonna', 'get', 'out', 'til', 'after', 'you', 'need', 'to', 'come', 'home', 'you', 'need', 'to', 'getsleep', 'and', 'if', 'anything', 'you', 'need', 'to', 'b', 'studdying', 'ear', 'training']"
0,"['lol', 'i', 'knew', 'that', 'i', 'saw', 'him', 'in', 'the', 'dollar', 'store']"
1,"['we', 'tried', 'to', 'call', 'you', 're', 'your', 'reply', 'to', 'our', 'sms', 'for', 'a', 'video', 'mobile', 'mins', 'unlimited', 'text', 'free', 'camcorder', 'reply', 'or', 'call', 'now', 'del', 'thurs']"
0,"['hey', 'gals', 'u', 'all', 'wanna', 'meet', 'dinner', 'at', 'nã', 'ã', 'te']"
0,"['aft', 'i', 'finish', 'my', 'lunch', 'then', 'i', 'go', 'str', 'down', 'lor', 'ard', 'smth', 'lor', 'u', 'finish', 'ur', 'lunch', 'already']"
0,"['y', 'cant', 'u', 'try', 'new', 'invention', 'to', 'fly', 'i', 'm', 'not', 'joking']"
0,"['that', 'would', 'be', 'good', 'â', 'ã', '_', 'i', 'll', 'phone', 'you', 'tomo', 'lunchtime', 'shall', 'i', 'to', 'organise', 'something']"
0,"['lol', 'that', 'would', 'be', 'awesome', 'payback']"
0,"['you', 'd', 'like', 'that', 'wouldn', 't', 'you', 'jerk']"
0,"['yeah', 'there', 's', 'barely', 'enough', 'room', 'for', 'the', 'two', 'of', 'us', 'x', 'has', 'too', 'many', 'fucking', 'shoes', 'sorry', 'man', 'see', 'you', 'later']"
1,"['hmv', 'bonus', 'special', 'pounds', 'of', 'genuine', 'hmv', 'vouchers', 'to', 'be', 'won', 'just', 'answer', 'easy', 'questions', 'play', 'now', 'send', 'hmv', 'to', 'more', 'info', 'www', 'percent', 'real', 'com']"
0,"['he', 'remains', 'a', 'bro', 'amongst', 'bros']"
1,"['do', 'you', 'want', 'a', 'new', 'nokia', 'i', 'colour', 'phone', 'deliveredtomorrow', 'with', 'free', 'minutes', 'to', 'any', 'mobile', 'free', 'texts', 'free', 'camcorder', 'reply', 'or', 'call']"
0,"['if', 'you', 're', 'not', 'in', 'my', 'car', 'in', 'an', 'hour', 'and', 'a', 'half', 'i', 'm', 'going', 'apeshit']"
0,"['cool', 'text', 'me', 'when', 'you', 'head', 'out']"
0,"['that', 's', 'y', 'i', 'said', 'it', 's', 'bad', 'dat', 'all', 'e', 'gals', 'know', 'u', 'wat', 'u', 'doing', 'now']"
0,"['i', 'know', 'girls', 'always', 'safe', 'and', 'selfish', 'know', 'i', 'got', 'it', 'pa', 'thank', 'you', 'good', 'night']"
0,"['ok', 'ã', 'ã', 'finishing', 'soon']"
0,"['life', 'alle', 'mone', 'eppolum', 'oru', 'pole', 'allalo']"
0,"['if', 'i', 'let', 'you', 'do', 'this', 'i', 'want', 'you', 'in', 'the', 'house', 'by', 'am']"
0,"['daddy', 'will', 'take', 'good', 'care', 'of', 'you']"
1,"['buy', 'space', 'invaders', 'a', 'chance', 'win', 'orig', 'arcade', 'game', 'console', 'press', 'for', 'games', 'arcade', 'std', 'wap', 'charge', 'see', 'o', 'co', 'uk', 'games', 'terms', 'settings', 'no', 'purchase']"
0,"['just', 'do', 'what', 'ever', 'is', 'easier', 'for', 'you']"
0,"['but', 'i', 'have', 'to', 'i', 'like', 'to', 'have', 'love', 'and', 'arrange']"
0,"['hi', 'darlin', 'i', 'hope', 'you', 'had', 'a', 'nice', 'night', 'i', 'wish', 'i', 'had', 'come', 'cant', 'wait', 'to', 'see', 'you', 'love', 'fran', 'ps', 'i', 'want', 'dirty', 'anal', 'sex', 'and', 'i', 'want', 'a', 'man', 'gang', 'bang']"
0,"['goodmorning', 'today', 'i', 'am', 'late', 'for', 'lt', 'gt', 'min']"
0,"['as', 'per', 'your', 'request', 'maangalyam', 'alaipayuthe', 'has', 'been', 'set', 'as', 'your', 'callertune', 'for', 'all', 'callers', 'press', 'to', 'copy', 'your', 'friends', 'callertune']"
0,"['i', 'wish', 'u', 'were', 'here', 'i', 'feel', 'so', 'alone']"
0,"['awesome', 'question', 'with', 'a', 'cute', 'answer', 'someone', 'asked', 'a', 'boy', 'how', 'is', 'ur', 'life', 'he', 'smiled', 'amp', 'answered', 'she', 'is', 'fine', 'gudnite']"
1,"['ur', 'hmv', 'quiz', 'cash', 'balance', 'is', 'currently', 'ã', 'â', 'to', 'maximize', 'ur', 'cash', 'in', 'now', 'send', 'hmv', 'to', 'only', 'p', 'msg']"
0,"['so', 'wat', 's', 'da', 'decision']"
0,"['k', 'k', 'advance', 'happy', 'pongal']"
0,"['unless', 'it', 's', 'a', 'situation', 'where', 'you', 'go', 'gurl', 'would', 'be', 'more', 'appropriate']"
0,"['honeybee', 'said', 'i', 'm', 'd', 'sweetest', 'in', 'd', 'world', 'god', 'laughed', 'amp', 'said', 'wait', 'u', 'havnt', 'met', 'd', 'person', 'reading', 'this', 'msg', 'moral', 'even', 'god', 'can', 'crack', 'jokes', 'gm', 'gn', 'ge', 'gn']"
0,"['thatã', 'ã', 's', 'alrite', 'girl', 'u', 'know', 'gail', 'is', 'neva', 'wrong', 'take', 'care', 'sweet', 'and', 'donã', 'ã', 't', 'worry', 'c', 'u', 'ltr', 'hun', 'love', 'yaxxx']"
1,"['winner', 'as', 'a', 'valued', 'network', 'customer', 'you', 'have', 'been', 'selected', 'to', 'receivea', 'ã', 'â', 'prize', 'reward', 'to', 'claim', 'call', 'claim', 'code', 'kl', 'valid', 'hours', 'only']"
0,"['there', 's', 'someone', 'here', 'that', 'has', 'a', 'year', 'lt', 'gt', 'toyota', 'camry', 'like', 'mr', 'olayiwola', 's', 'own', 'mileage', 'is', 'lt', 'gt', 'k', 'its', 'clean', 'but', 'i', 'need', 'to', 'know', 'how', 'much', 'will', 'it', 'sell', 'for', 'if', 'i', 'can', 'raise', 'the', 'dough', 'for', 'it', 'how', 'soon', 'after', 'landing', 'will', 'it', 'sell', 'holla', 'back']"
0,"['ma', 'head', 'dey', 'swell', 'oh', 'thanks', 'for', 'making', 'my', 'day']"
0,"['ok', 'take', 'ur', 'time', 'n', 'enjoy', 'ur', 'dinner']"
0,"['sad', 'story', 'of', 'a', 'man', 'last', 'week', 'was', 'my', 'b', 'day', 'my', 'wife', 'did', 'nt', 'wish', 'me', 'my', 'parents', 'forgot', 'n', 'so', 'did', 'my', 'kids', 'i', 'went', 'to', 'work', 'even', 'my', 'colleagues', 'did', 'not', 'wish', 'as', 'i', 'entered', 'my', 'cabin', 'my', 'pa', 'said', 'happy', 'b', 'day', 'boss', 'i', 'felt', 'special', 'she', 'askd', 'me', 'lunch', 'after', 'lunch', 'she', 'invited', 'me', 'to', 'her', 'apartment', 'we', 'went', 'there', 'she', 'said', 'do', 'u', 'mind', 'if', 'i', 'go', 'into', 'the', 'bedroom', 'for', 'a', 'minute', 'ok', 'i', 'sed', 'in', 'a', 'sexy', 'mood', 'she', 'came', 'out', 'minuts', 'latr', 'wid', 'a', 'cake', 'n', 'my', 'wife', 'my', 'parents', 'my', 'kidz', 'my', 'friends', 'n', 'my', 'colleagues', 'all', 'screaming', 'surprise', 'and', 'i', 'was', 'waiting', 'on', 'the', 'sofa', 'naked']"
0,"['ok', 'thanx', 'take', 'care', 'then']"
0,"['k', 'eng', 'rocking', 'in', 'ashes']"
0,"['i', 'm', 'home']"
0,"['wiskey', 'brandy', 'rum', 'gin', 'beer', 'vodka', 'scotch', 'shampain', 'wine', 'kudi', 'yarasu', 'dhina', 'vaazhthukkal']"
0,"['now', 'thats', 'going', 'to', 'ruin', 'your', 'thesis']"
0,"['lemme', 'know', 'when', 'you', 're', 'here']"
0,"['apple', 'day', 'no', 'doctor', 'tulsi', 'leaf', 'day', 'no', 'cancer', 'lemon', 'day', 'no', 'fat', 'cup', 'milk', 'day', 'no', 'bone', 'problms', 'litres', 'watr', 'day', 'no', 'diseases', 'snd', 'ths', 'whom', 'u', 'care']"
0,"['yay', 'finally', 'lol', 'i', 'missed', 'our', 'cinema', 'trip', 'last', 'week']"
0,"['how', 'did', 'you', 'find', 'out', 'in', 'a', 'way', 'that', 'didn', 't', 'include', 'all', 'of', 'these', 'details']"
0,"['great', 'hope', 'you', 'are', 'using', 'your', 'connections', 'from', 'mode', 'men', 'also', 'cos', 'you', 'can', 'never', 'know', 'why', 'old', 'friends', 'can', 'lead', 'you', 'to', 'today']"
0,"['for', 'fear', 'of', 'fainting', 'with', 'the', 'of', 'all', 'that', 'housework', 'you', 'just', 'did', 'quick', 'have', 'a', 'cuppa']"
0,"['am', 'i', 'the', 'only', 'one', 'who', 'doesn', 't', 'stalk', 'profiles']"
0,"['aiyar', 'u', 'so', 'poor', 'thing', 'i', 'give', 'u', 'my', 'support', 'k', 'jia', 'you', 'i', 'll', 'think', 'of', 'u']"
0,"['okie', 'thanx']"
0,"['sorry', 'i', 'll', 'call', 'later']"
0,"['mum', 'say', 'we', 'wan', 'to', 'go', 'then', 'go', 'then', 'she', 'can', 'shun', 'bian', 'watch', 'da', 'glass', 'exhibition']"
0,"['did', 'you', 'say', 'bold', 'then', 'torch', 'later', 'or', 'one', 'torch', 'and', 'bold']"
0,"['not', 'yet', 'chikku', 'wat', 'abt', 'u']"
0,"['what', 'was', 'she', 'looking', 'for']"
0,"['shopping', 'eh', 'ger', 'i', 'toking', 'abt', 'syd', 'leh', 'haha']"
0,"['i', 'liked', 'the', 'new', 'mobile']"
0,"['now', 'am', 'free', 'call', 'me', 'pa']"
0,"['wat', 'r', 'u', 'doing']"
0,"['single', 'line', 'with', 'a', 'big', 'meaning', 'miss', 'anything', 'ur', 'best', 'life', 'but']"
0,"['they', 'just', 'talking', 'thats', 'it', 'de', 'they', 'wont', 'any', 'other']"
0,"['yep', 'i', 'do', 'like', 'the', 'pink', 'furniture', 'tho']"
0,"['thanks', 'honey', 'but', 'still', 'haven', 't', 'heard', 'anything', 'i', 'will', 'leave', 'it', 'a', 'bit', 'longer', 'so', 'not', 'crowd', 'him', 'and', 'will', 'try', 'later', 'great', 'advice', 'thanks', 'hope', 'cardiff', 'is', 'still', 'there']"
0,"['then', 'ã', '_', 'ask', 'dad', 'to', 'pick', 'ã', '_', 'up', 'lar', 'ã', 'ã', 'wan', 'stay', 'until', 'meh']"
0,"['sorry', 'pa', 'i', 'dont', 'knw', 'who', 'ru', 'pa']"
0,"['u', 'will', 'switch', 'your', 'fone', 'on', 'dammit']"
0,"['i', 'm', 'at', 'work', 'please', 'call']"
0,"['well', 'i', 'will', 'watch', 'shrek', 'in', 'd', 'b']"
0,"['long', 'after', 'i', 'quit', 'i', 'get', 'on', 'only', 'like', 'minutes', 'a', 'day', 'as', 'it', 'is']"
0,"['hey', 'you', 'told', 'your', 'name', 'to', 'gautham', 'ah']"
0,"['happy', 'new', 'year', 'princess']"
0,"['coffee', 'cake', 'i', 'guess']"
0,"['i', 'wont', 'touch', 'you', 'with', 'out', 'your', 'permission']"
0,"['sometimes', 'we', 'put', 'walls', 'around', 'our', 'hearts', 'not', 'just', 'to', 'be', 'safe', 'from', 'getting', 'hurt', 'but', 'to', 'find', 'out', 'who', 'cares', 'enough', 'to', 'break', 'the', 'walls', 'amp', 'get', 'closer', 'goodnoon']"
0,"['speak', 'only', 'when', 'you', 'feel', 'your', 'words', 'are', 'better', 'than', 'the', 'silence', 'gud', 'mrng']"
0,"['i', 'got', 'like', 'lt', 'gt', 'i', 'can', 'get', 'some', 'more', 'later', 'though', 'get', 'whatever', 'you', 'feel', 'like']"
0,"['k', 'i', 'm', 'ready', 'lt', 'gt']"
0,"['sir', 'i', 'need', 'velusamy', 'sir', 's', 'date', 'of', 'birth', 'and', 'company', 'bank', 'facilities', 'details']"
0,"['rose', 'needs', 'water', 'season', 'needs', 'change', 'poet', 'needs', 'imagination', 'my', 'phone', 'needs', 'ur', 'sms', 'and', 'i', 'need', 'ur', 'lovely', 'frndship', 'forever']"
1,"['wan', 'win', 'a', 'meet', 'greet', 'with', 'westlife', 'u', 'or', 'a', 'm', 'they', 'are', 'currently', 'on', 'what', 'tour', 'unbreakable', 'untamed', 'unkempt', 'text', 'or', 'to', 'cost', 'p', 'std', 'text']"
